paiva,suunnitellut,ajetut,ajamatta,luotettavuus,Nobina Finland,Koiviston Auto,Pohjolan Liikenne,Tammelundin Liikenne
2026-03-11,19673,19524,149,99.24,99.35,99.15,99.21,99.65
2026-03-12,19673,19553,120,99.39,99.45,99.25,99.31,99.91
2026-03-13,20094,19895,199,99.01,98.76,99.61,98.47,100.0
2026-03-14,14002,13972,30,99.79,99.77,99.81,99.73,100.0
2026-03-15,11596,11532,64,99.45,99.42,99.81,98.99,100.0
2026-03-16,19662,19532,130,99.34,99.59,99.68,98.87,100.0
2026-03-17,19673,19431,242,98.77,99.47,97.94,98.35,100.0
2026-03-18,19673,19519,154,99.22,99.48,99.05,98.81,100.0
2026-03-19,19673,19506,167,99.15,98.96,99.6,98.73,100.0
2026-03-20,20094,19823,271,98.65,98.8,98.62,98.08,99.92
2026-03-21,14002,13866,136,99.03,98.5,99.52,99.0,100.0
2026-03-22,11597,11523,74,99.36,99.3,99.69,98.99,99.88
2026-03-23,19673,19480,193,99.02,98.31,99.29,99.36,99.83
2026-03-24,19673,19525,148,99.25,99.36,99.27,98.87,100.0
2026-03-25,19673,19326,347,98.24,97.99,98.91,98.16,98.45
2026-03-26,19673,19485,188,99.04,99.04,99.54,98.32,100.0
2026-03-27,20094,19828,266,98.68,98.13,99.24,98.5,100.0
2026-03-28,14002,13845,157,98.88,98.65,99.52,98.38,99.56
2026-03-29,11597,11530,67,99.42,98.89,99.78,99.58,100.0
2026-03-30,19677,19530,147,99.25,99.17,99.6,98.95,100.0
2026-03-31,19693,19529,164,99.17,99.28,98.93,99.48,98.53
2026-04-01,19651,19391,260,98.68,98.89,99.07,99.0,99.65
2026-04-02,20084,19717,367,98.17,98.6,97.67,98.72,96.94
2026-04-03,4150,4076,74,98.22,97.85,99.09,97.04,100.0
2026-04-04,14036,13861,175,98.75,99.18,98.38,98.88,97.13
2026-04-05,12024,11919,105,99.13,99.39,98.97,98.86,99.4
2026-04-06,11597,11410,187,98.39,98.09,97.05,99.58,100.0
2026-04-07,19669,19358,311,98.42,98.54,99.13,97.84,98.45
2026-04-08,19678,19325,353,98.21,99.11,96.95,97.92,98.7
2026-04-09,19677,19372,305,98.45,98.89,98.75,97.65,97.67
2026-04-10,20098,19697,401,98.0,98.58,97.91,98.04,95.25
2026-04-11,13998,13807,191,98.64,99.54,98.12,97.85,98.89
2026-04-12,11593,11395,198,98.29,98.24,98.37,98.16,98.63
2026-04-13,19678,19448,230,98.83,99.44,98.22,98.56,99.4
2026-04-14,19678,19265,413,97.9,98.17,97.2,98.52,97.58
2026-04-15,19619,19383,236,98.8,99.22,98.0,98.88,98.79
2026-04-16,19665,19272,393,98.0,98.77,96.85,98.68,99.4
2026-04-17,20043,19696,347,98.27,98.9,98.33,97.28,98.05
2026-04-18,13983,13691,292,97.91,98.21,97.43,97.65,99.11
2026-04-19,11593,11408,185,98.4,98.53,98.18,98.87,96.51
2026-04-20,19669,19331,338,98.28,98.52,98.85,97.66,97.93
2026-04-21,19665,19343,322,98.36,99.54,98.14,97.2,98.36
2026-04-22,19669,19421,248,98.74,98.61,99.23,98.81,100.0
2026-04-23,19669,19523,146,99.26,98.96,99.56,99.3,100.0
2026-04-24,20089,19939,150,99.25,99.25,99.69,99.13,99.83
2026-04-25,13996,13904,92,99.34,99.4,98.91,99.5,100.0
2026-04-26,11387,11325,62,99.46,99.78,98.8,99.51,100.0
2026-04-27,19378,19191,187,99.03,99.33,99.23,98.85,99.83
2026-04-29,19366,19093,273,98.59,99.29,97.51,98.45,100.0
2026-04-30,14287,14203,84,99.41,99.64,99.05,99.76,100.0
